S.N.,Date,NEPSE Index,Absolute Change,Percentage Change
1,2021-08-15,3154.34,-24.5748,-0.7731%
2,2021-08-16,3160.06,5.7202,0.1813%
3,2021-08-17,3160.32,0.2334,0.0074%
4,2021-08-18,3198.6,38.2839,1.2114%
5,2021-08-19,3180.79,-18.2368,-0.5701%
6,2021-08-24,3124.87,-56.0262,-1.7613%
7,2021-08-25,3076.45,-48.4204,-1.5495%
8,2021-08-26,3094.05,17.6019,0.5721%
9,2021-08-29,3044.87,-49.1838,-1.5896%
10,2021-08-31,2975.84,-69.0535,-2.2678%
11,2021-09-01,2977.02,1.1789,0.0396%
12,2021-09-02,2926.89,-50.1291,-1.6839%
13,2021-09-05,2818.73,-108.264,-3.6988%
14,2021-09-06,2980.79,161.94,5.7449%
15,2021-09-07,2936.61,-44.1787,-1.4821%
16,2021-09-08,2876.59,-60.0157,-2.0437%
17,2021-09-09,2875.98,-0.6163,-0.0214%
18,2021-09-12,2947.42,71.4264,2.4835%
19,2021-09-13,2947.7,0.2729,0.0093%
20,2021-09-14,2929.29,-18.5435,-0.6291%
21,2021-09-15,2889.03,-40.2553,-1.3742%
22,2021-09-16,2812.39,-76.6539,-2.6533%
23,2021-09-20,2698.25,-114.018,-4.0543%
24,2021-09-21,2712.07,13.8269,0.5124%
25,2021-09-22,2816.95,104.882,3.8672%
26,2021-09-23,2819.66,2.7044,0.096%
27,2021-09-26,2758.48,-61.2651,-2.1727%
28,2021-09-27,2685.42,-73.0522,-2.6483%
29,2021-09-28,2615.4,-70.011,-2.6071%
30,2021-09-29,2665.94,50.5765,1.9338%
31,2021-09-30,2633.42,-32.5145,-1.2196%
32,2021-10-03,2577.5,-55.9263,-2.1237%
33,2021-10-04,2570.81,-6.6842,-0.2593%
34,2021-10-05,2612.65,41.8423,1.6276%
35,2021-10-06,2681.11,68.4728,2.6208%
36,2021-10-10,2662.58,-18.5273,-0.691%
37,2021-10-11,2639.38,-23.1869,-0.8708%
38,2021-10-17,2656.97,17.5914,0.6665%
39,2021-10-18,2587.45,-69.5143,-2.6163%
40,2021-10-19,2510.73,-77.3321,-2.988%
41,2021-10-20,2571.66,60.5584,2.4116%
42,2021-10-21,2556.96,-14.7045,-0.5718%
43,2021-10-24,2584.53,27.5143,1.076%
44,2021-10-25,2672.25,87.634,3.3906%
45,2021-10-26,2751.07,78.8222,2.9497%
46,2021-10-27,2769.13,18.0573,0.6564%
47,2021-10-28,2782.12,12.9849,0.4689%
48,2021-10-31,2837.62,55.4993,1.9949%
49,2021-11-01,2819.87,-17.7483,-0.6255%
50,2021-11-02,2843.62,23.7551,0.8424%
51,2021-11-03,2848.84,5.2227,0.1837%
52,2021-11-08,2829.65,-19.1984,-0.6739%
53,2021-11-09,2749.86,-79.7866,-2.8197%
54,2021-11-11,2690.29,-59.5688,-2.1662%
55,2021-11-14,2688.92,-1.3757,-0.0511%
56,2021-11-15,2715.35,26.4371,0.9832%
57,2021-11-16,2784.58,69.2247,2.5494%
58,2021-11-17,2801.52,16.9477,0.6086%
59,2021-11-18,2769.13,-32.3906,-1.1562%
60,2021-11-21,2757.53,-11.5995,-0.4189%
61,2021-11-22,2765.44,7.9007,0.2865%
62,2021-11-23,2733.12,-32.3132,-1.1685%
63,2021-11-24,2735.01,1.8859,0.069%
64,2021-11-25,2731.78,-3.2232,-0.1178%
65,2021-11-28,2651.49,-80.2911,-2.9391%
66,2021-11-29,2630.01,-21.4803,-0.8101%
67,2021-11-30,2628.37,-1.6387,-0.0623%
68,2021-12-01,2633.66,5.2829,0.201%
69,2021-12-02,2586.19,-47.4665,-1.8023%
70,2021-12-05,2513.87,-72.3197,-2.7964%
71,2021-12-06,2546.09,32.2179,1.2816%
72,2021-12-07,2508.91,-37.1811,-1.4603%
73,2021-12-08,2455.82,-53.0912,-2.1161%
74,2021-12-09,2449.97,-5.8438,-0.238%
75,2021-12-12,2361.24,-88.7307,-3.6217%
76,2021-12-13,2281.67,-79.5715,-3.3699%
77,2021-12-14,2418.85,137.178,6.0122%
78,2021-12-15,2414.62,-4.2264,-0.1747%
79,2021-12-16,2376.75,-37.8741,-1.5685%
80,2021-12-20,2358.82,-17.9293,-0.7544%
81,2021-12-21,2415.55,56.7328,2.4051%
82,2021-12-22,2507.71,92.156,3.8151%
83,2021-12-23,2520.23,12.5264,0.4995%
84,2021-12-26,2591.43,71.1952,2.8249%
85,2021-12-27,2521.66,-69.7718,-2.6924%
86,2021-12-28,2519,-2.6615,-0.1055%
87,2021-12-29,2524.5,5.5086,0.2187%
88,2022-01-02,2584.91,60.4069,2.3928%
89,2022-01-03,2616.94,32.0301,1.2391%
90,2022-01-04,2679.95,63.0123,2.4079%
91,2022-01-05,2649.18,-30.7717,-1.1482%
92,2022-01-06,2692.47,43.289,1.6341%
93,2022-01-09,2765.52,73.0468,2.713%
94,2022-01-10,2784.95,19.4319,0.7026%
95,2022-01-11,2834.14,49.185,1.7661%
96,2022-01-12,2803.63,-30.5069,-1.0764%
97,2022-01-13,2857.75,54.1223,1.9304%
98,2022-01-16,2926.75,68.9988,2.4144%
99,2022-01-17,2947.44,20.6884,0.7069%
100,2022-01-18,2936.66,-10.7758,-0.3656%
101,2022-01-19,2898.31,-38.3483,-1.3058%
102,2022-01-20,2931.34,33.0281,1.1396%
103,2022-01-23,2920.52,-10.825,-0.3693%
104,2022-01-24,2820.66,-99.8597,-3.4192%
105,2022-01-25,2815.07,-5.5902,-0.1982%
106,2022-01-26,2776.65,-38.4159,-1.3647%
107,2022-01-27,2779.98,3.333,0.12%
108,2022-01-30,2885.53,105.549,3.7968%
109,2022-01-31,2872.05,-13.4823,-0.4672%
110,2022-02-01,2891.34,19.2887,0.6716%
111,2022-02-03,2876.74,-14.5965,-0.5048%
112,2022-02-06,2836.17,-40.5718,-1.4103%
113,2022-02-07,2851.88,15.7089,0.5539%
114,2022-02-08,2835.58,-16.2983,-0.5715%
115,2022-02-09,2813.53,-22.056,-0.7778%
116,2022-02-10,2801.57,-11.9589,-0.4251%
117,2022-02-13,2700.9,-100.668,-3.5933%
118,2022-02-14,2700.98,0.084,0.0031%
